uav_id,heading_deg,speed_mps,smoke_id,drop_time_s,fuse_delay_s,burst_time_s,drop_x_m,drop_y_m,drop_z_m,burst_x_m,burst_y_m,burst_z_m,individual_full_target_duration_s,target_id
FY1,180.0681784585886,104.49763777226096,1,11.412922179556949,2.9868023944890787,14.399724574046028,16607.377436507395,-1.4191482710515835,1800.0,16295.263862760088,-1.7905444294959454,1756.287156135744,0.0,M1
FY1,180.0681784585886,104.49763777226096,2,14.54426765713542,3.5306312912522175,18.074898948387638,16280.1594627145,-1.808517746340794,1800.0,15911.21709413665,-2.2475367122000454,1738.9197491576303,0.0,M1
FY1,180.0681784585886,104.49763777226096,3,17.57749169538637,2.3510888316167,19.92858052700307,15963.194940286934,-2.1856862385001827,1800.0,15717.511885128277,-2.478034122590202,1772.9146683986514,0.0,M1
FY2,275.58930104712243,110.26222928025625,1,6.083808589064849,2.9609732582097124,9.04478184727456,12065.33533857671,732.3750189489588,1400.0,12097.133871931199,407.44373840899044,1357.0399230844182,3.4235594660167123,M2
FY2,275.58930104712243,110.26222928025625,2,8.451327660304372,3.023642627711503,11.474970288015875,12090.760638837515,472.56821340361455,1400.0,12123.232192129244,140.759721653991,1355.2021677734408,0.0,M1
FY2,275.58930104712243,110.26222928025625,3,12.217342399323126,2.925587091581126,15.142929490904251,12131.20468707745,59.293291622781,1400.0,12162.623200721628,-261.7547817979919,1358.060606830912,0.0,M1
FY3,153.39487772334908,100.0936749507776,1,9.195850856958,4.130987982691551,13.32683883964955,5177.015705060683,-2587.7881348818637,700.0,4807.3122066871965,-2402.6130719525377,616.3811976056041,0.0,M1
FY3,153.39487772334908,100.0936749507776,2,12.176123250006839,2.0413209300059365,14.217444180012775,4910.295701412019,-2454.1948806188047,700.0,4727.607324614927,-2362.69092726513,679.5817434175265,0.0,M1
FY3,153.39487772334908,100.0936749507776,3,15.32080256779248,2.1230776294496465,17.443880197242127,4628.862071026436,-2313.2319456009945,700.0,4438.856863987655,-2218.063178399442,677.9134527587192,0.0,M1
FY4,267.89968402729096,136.20769325312602,1,2.3473774541653327,11.935213147032101,14.282590601197434,10988.282113144283,1680.4839296305242,1800.0,10928.702654797009,55.90821557358663,1101.9983669610692,3.694849490883705,M1
FY4,267.89968402729096,136.20769325312602,2,5.646716039154054,11.773630477725295,17.42034651687935,10971.812126108754,1231.3905392073693,1800.0,10913.039273206812,-371.19115789029775,1120.7699643324922,0.0,M1
FY4,267.89968402729096,136.20769325312602,3,8.822249651610658,12.02084213137622,20.84309178298688,10955.960161819305,799.1490096749587,1800.0,10895.953251658375,-837.0821952953863,1091.946836817399,0.0,M1
FY5,124.09349799299324,131.4870318303935,1,11.995454711498638,2.8771695078148873,14.872624219313526,12115.882194782489,-693.8442010805632,1300.0,11903.82213939754,-380.55623263829875,1259.4372885541711,3.4106159533945153,M3
FY5,124.09349799299324,131.4870318303935,2,15.126284098148869,3.2204214405906617,18.34670553873953,11885.126289949443,-352.9358272712234,1300.0,11647.76705643901,-2.2719932808517456,1249.1815401504214,0.0,M1
FY5,124.09349799299324,131.4870318303935,3,18.378893652960553,2.3319152518520374,20.71080890481259,11645.39465075839,1.2328919491985744,1300.0,11473.522233746606,255.1494546848757,1273.3546391650812,0.0,M1
