uav_id,heading_deg,speed_mps,smoke_id,drop_time_s,fuse_delay_s,burst_time_s,drop_x_m,drop_y_m,drop_z_m,burst_x_m,burst_y_m,burst_z_m,individual_full_target_duration_s,target_id
FY1,180.0,100.0,1,0.0,3.0,3.0,17800.0,0.0,1800.0,17500.0,3.6739403974420595e-14,1755.9,2.8527751951885136,M1
FY1,180.0,100.0,2,3.0,3.0,6.0,17500.0,3.6739403974420595e-14,1800.0,17200.0,7.347880794884119e-14,1755.9,0.0,M1
FY1,180.0,100.0,3,6.0,3.0,9.0,17200.0,7.347880794884119e-14,1800.0,16900.0,1.1021821192326178e-13,1755.9,0.0,M1
FY2,186.6544250460066,100.0,1,0.0,3.0,3.0,12000.0,1400.0,1400.0,11702.021058273827,1365.2357901319465,1355.9,0.0,M1
FY2,186.6544250460066,100.0,2,3.0,3.0,6.0,11702.021058273827,1365.2357901319465,1400.0,11404.042116547655,1330.471580263893,1355.9,0.0,M1
FY2,186.6544250460066,100.0,3,6.0,3.0,9.0,11404.042116547655,1330.471580263893,1400.0,11106.063174821482,1295.7073703958395,1355.9,0.0,M1
FY3,153.434948822922,100.0,1,0.0,3.0,3.0,6000.0,-3000.0,700.0,5731.671842700025,-2865.8359213500125,655.9,0.0,M1
FY3,153.434948822922,100.0,2,3.0,3.0,6.0,5731.671842700025,-2865.8359213500125,700.0,5463.34368540005,-2731.671842700025,655.9,0.0,M1
FY3,153.434948822922,100.0,3,6.0,3.0,9.0,5463.34368540005,-2731.671842700025,700.0,5195.015528100075,-2597.5077640500376,655.9,0.0,M1
FY4,190.30484646876602,100.0,1,0.0,3.0,3.0,11000.0,2000.0,1800.0,10704.839026970028,1946.334368540005,1755.9,0.0,M1
FY4,190.30484646876602,100.0,2,3.0,3.0,6.0,10704.839026970028,1946.334368540005,1800.0,10409.678053940057,1892.66873708001,1755.9,0.0,M1
FY4,190.30484646876602,100.0,3,6.0,3.0,9.0,10409.678053940055,1892.6687370800103,1800.0,10114.517080910084,1839.0031056200155,1755.9,0.0,M1
FY5,171.2538377374448,100.0,1,0.0,3.0,3.0,13000.0,-2000.0,1300.0,12703.488490704814,-1954.3828447238177,1255.9,0.0,M1
FY5,171.2538377374448,100.0,2,3.0,3.0,6.0,12703.488490704814,-1954.3828447238177,1300.0,12406.976981409629,-1908.7656894476354,1255.9,0.0,M1
FY5,171.2538377374448,100.0,3,6.0,3.0,9.0,12406.976981409629,-1908.7656894476354,1300.0,12110.465472114443,-1863.148534171453,1255.9,0.0,M1
